YearMonth,Value
193108,-0.0142
193109,-0.0097
193110,0.0069
193111,-0.1129
193112,-0.0993
193201,0.1514
193202,-0.1707
193203,-0.1814
193204,-0.0427
193205,-0.1696
193206,-0.1669
193207,-0.1142
193208,-0.1839
193209,-0.0792
193210,-0.0941
193211,-0.2060
193212,-0.1904
193301,-0.3060
193302,-0.3170
193303,-0.2517
193304,-0.2077
193305,-0.2157
193306,-0.2043
193307,-0.1864
193308,-0.1930
193309,-0.2251
193310,-0.1904
193311,-0.2597
193312,-0.4105
193401,-0.3115
193402,-0.0234
193403,-0.2610
193404,-0.2351
193405,-0.0471
193406,-0.0084
193407,-0.0963
193408,-0.0601
193409,-0.1267
193410,-0.0700
193411,0.0041
193412,-0.0281
193501,-0.2895
193502,0.1690
193503,-0.1486
193504,-0.2554
193505,-0.2032
193506,-0.1723
193507,-0.1154
193508,-0.1006
193509,-0.0913
193510,-0.0109
193511,-0.2674
193512,-0.1735
193601,-0.2536
193602,-0.3117
193603,-0.2103
193604,-0.1772
193605,-0.1164
193606,-0.1073
193607,-0.0125
193608,-0.0551
193609,-0.0405
193610,-0.0218
193611,-0.0256
193612,-0.0177
193701,-0.1681
193702,0.0410
193703,-0.1821
193704,-0.1252
193705,-0.0181
193706,0.0122
193707,-0.0022
193708,0.0922
193709,0.1313
193710,0.1139
193711,0.0110
193712,-0.0900
193801,-0.0382
193802,-0.0538
193803,0.0302
193804,0.0434
193805,-0.0191
193806,-0.0932
193807,-0.0495
193808,-0.0159
193809,0.0312
193810,0.0743
193811,0.0035
193812,-0.2536
193901,-0.1656
193902,-0.1104
193903,-0.1886
193904,-0.1296
193905,-0.0396
193906,-0.0130
193907,0.0033
193908,0.0560
193909,0.0106
193910,-0.0409
193911,0.0476
193912,0.4089
194001,-0.1208
194002,0.0552
194003,0.0721
194004,0.1304
194005,0.0567
194006,0.1049
194007,0.1471
194008,0.0935
194009,0.1489
194010,0.1027
194011,0.1031
194012,0.2691
194101,0.1846
194102,0.2307
194103,0.1033
194104,0.2235
194105,0.2483
194106,0.1641
194107,0.2092
194108,0.1792
194109,0.0902
194110,0.3144
194111,0.2270
194112,0.2141
194201,0.3048
194202,0.1010
194203,0.1809
194204,0.1953
194205,0.1712
194206,0.2109
194207,0.0811
194208,0.0474
194209,0.1207
194210,0.1542
194211,0.1677
194212,0.1564
194301,-0.0211
194302,0.1732
194303,0.0794
194304,0.1739
194305,0.1368
194306,0.0257
194307,0.1865
194308,0.1039
194309,0.1491
194310,0.3197
194311,0.2494
194312,0.3576
194401,0.4247
194402,0.3084
194403,0.3678
194404,0.2747
194405,0.2763
194406,0.3385
194407,0.3187
194408,0.2789
194409,0.3886
194410,0.3213
194411,0.1536
194412,0.1035
194501,0.1597
194502,0.0192
194503,0.1091
194504,0.2785
194505,0.1839
194506,0.1447
194507,0.1689
194508,0.3619
194509,0.2637
194510,0.2646
194511,0.1959
194512,-0.0422
194601,0.2250
194602,0.0902
194603,0.0032
194604,0.1783
194605,-0.0279
194606,-0.0990
194607,-0.0342
194608,-0.0662
194609,-0.0154
194610,-0.0032
194611,-0.0148
194612,-0.2619
194701,-0.1833
194702,-0.0750
194703,-0.0069
194704,0.0167
194705,-0.0182
194706,0.0199
194707,-0.0103
194708,-0.0600
194709,-0.1278
194710,0.0588
194711,-0.0215
194712,-0.1456
194801,0.0543
194802,-0.0938
194803,-0.1866
194804,-0.0625
194805,0.1471
194806,-0.0119
194807,-0.0621
194808,-0.0223
194809,-0.1008
194810,-0.0662
194811,-0.0574
194812,-0.1138
194901,0.1202
194902,-0.1476
194903,-0.0719
194904,0.0091
194905,-0.0061
194906,-0.1465
194907,-0.0746
194908,-0.0168
194909,-0.0652
194910,-0.0298
194911,-0.0494
194912,-0.1800
195001,-0.2724
195002,-0.2351
195003,-0.0822
195004,-0.1658
195005,-0.0490
195006,-0.0516
195007,-0.0991
195008,-0.1332
195009,-0.0991
195010,-0.1609
195011,-0.3547
195012,-0.1756
195101,-0.2831
195102,-0.4030
195103,-0.1614
195104,-0.0806
195105,0.0640
195106,0.0432
195107,0.1167
195108,0.1205
195109,0.1391
195110,0.1154
195111,0.0331
